LABEL	FREQ
WHADJP_BAR	1
WHADJP	1
UCP-ADV_BAR	2
UCP-ADV	1
SBAR-PRP-PRD_BAR	2
SBAR-PRP-PRD	1
ADVP-LOC-CLR_BAR	1
ADJP-PRD-TPC_BAR	2
ADJP-PRD-TPC	1
NNP	9624
,	4886
CD	3546
NNS	11815
JJ	5846
MD	927
VB	2554
DT	8165
NN	13194
IN	9857
.	3874
VBZ	4145
VBG	2913
CC	2265
VBD	6009
VBN	4188
-NONE-	6592
RB	2828
TO	2179
PRP	1716
RBR	148
WDT	445
VBP	1695
RP	216
PRP$	766
JJS	278
POS	824
``	712
EX	88
''	694
WP	241
:	563
JJR	615
WRB	178
$	724
NNPS	479
WP$	14
-LRB-	120
-RRB-	126
PDT	27
RBS	35
FW	4
UH	3
SYM	1
LS	13
#	16
NOPOS	3914
