TREE0_LABEL	TREE0_HEAD	TREE0_HEADPOS	TREE0_LEFTCHILD	TREE0_RIGHTCHILD	TREE1_LABEL	TREE1_HEAD	TREE1_HEADPOS	TREE1_LEFTCHILD	TREE1_RIGHTCHILD	TREE2_LABEL	TREE2_HEAD	TREE2_HEADPOS	TREE3_LABEL	TREE3_HEAD	ANTECEDENT_CARRIED	WORD_NEXT0_LEX	WORD_NEXT0_POS	ACTION	ACTION_RESULT_LABEL	ACTION_PREV	FREQ	ACTIVATION
NN	valley	 			DT	a	 			TO	to	 	VB	come	NO	that	WDT	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	valley	NN	NN		DT	a	 			TO	to	 	VB	come	NO	that	WDT	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	valley	NN	DT	NN	TO	to	 			VB	come	 	MD	would	NO	that	WDT	shift	''	reduce_binary	1	-9.294198074178478
WDT	that	 			NP	valley	NN	DT	NN	TO	to	 	VB	come	NO	be	VBZ	reduce_unary	WHNP	shift	1	-9.294198074178478
WHNP	that	WDT	WDT		NP	valley	NN	DT	NN	TO	to	 	VB	come	YES	be	VBZ	postulate_gap	*t*	reduce_unary	1	-9.294198074178478
-NONE-	*t*	 			WHNP	that	WDT	WDT		NP	valley	NN	TO	to	NO	be	VBZ	reduce_unary	NP	postulate_gap	1	-9.294198074178478
NP	*t*	-NONE-	-NONE-		WHNP	that	WDT	WDT		NP	valley	NN	TO	to	NO	be	VBZ	shift	''	reduce_unary	1	-9.294198074178478
VBZ	be	 			NP	*t*	-NONE-	-NONE-		WHNP	that	WDT	NP	valley	NO	surround	VBN	shift	''	shift	1	-9.294198074178478
VBN	surround	 			VBZ	be	 			NP	*t*	-NONE-	WHNP	that	NO	by	IN	shift	''	shift	1	-9.294198074178478
IN	by	 			VBN	surround	 			VBZ	be	 	NP	*t*	NO	moor	NNS	shift	''	shift	1	-9.294198074178478
NNS	moor	 			IN	by	 			VBN	surround	 	VBZ	be	NO	as	RB	reduce_unary	NP	shift	1	-9.294198074178478
NP	moor	NNS	NNS		IN	by	 			VBN	surround	 	VBZ	be	NO	as	RB	shift	''	reduce_unary	1	-9.294198074178478
RB	as	 			NP	moor	NNS	NNS		IN	by	 	VBN	surround	NO	high	JJ	shift	''	shift	1	-9.294198074178478
JJ	high	 			RB	as	 			NP	moor	NNS	IN	by	NO	as	IN	shift	''	shift	1	-9.294198074178478
IN	as	 			JJ	high	 			RB	as	 	NP	moor	NO	mountain	NNS	shift	''	shift	1	-9.294198074178478
NNS	mountain	 			IN	as	 			JJ	high	 	RB	as	NO	.	.	reduce_unary	NP	shift	1	-9.294198074178478
NP	mountain	NNS	NNS		IN	as	 			JJ	high	 	RB	as	NO	.	.	reduce_unary	PP_BAR	reduce_unary	1	-9.294198074178478
PP_BAR	as	IN	NP		IN	as	 			JJ	high	 	RB	as	NO	.	.	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	as	IN	IN	NP	JJ	high	 			RB	as	 	NP	moor	NO	.	.	reduce_unary	ADJP_BAR	reduce_binary	1	-9.294198074178478
ADJP_BAR	high	JJ	PP		JJ	high	 			RB	as	 	NP	moor	NO	.	.	reduce_binary	ADJP_BAR	reduce_unary	1	-9.294198074178478
ADJP_BAR	high	JJ	JJ	PP	RB	as	 			NP	moor	NNS	IN	by	NO	.	.	reduce_binary	ADJP	reduce_binary	1	-9.294198074178478
ADJP	high	JJ	RB	JJ	NP	moor	NNS	NNS		IN	by	 	VBN	surround	NO	.	.	reduce_unary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	moor	NNS	ADJP		NP	moor	NNS	NNS		IN	by	 	VBN	surround	NO	.	.	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	moor	NNS	NP	ADJP	IN	by	 			VBN	surround	 	VBZ	be	NO	.	.	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	by	IN	NP		IN	by	 			VBN	surround	 	VBZ	be	NO	.	.	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	by	IN	IN	NP	VBN	surround	 			VBZ	be	 	NP	*t*	NO	.	.	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	surround	VBN	PP		VBN	surround	 			VBZ	be	 	NP	*t*	NO	.	.	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	surround	VBN	VBN	PP	VBZ	be	 			NP	*t*	-NONE-	WHNP	that	NO	.	.	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	surround	VBN	VP		VBZ	be	 			NP	*t*	-NONE-	WHNP	that	NO	.	.	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	surround	VBN	VBZ	VP	NP	*t*	-NONE-	-NONE-		WHNP	that	WDT	NP	valley	NO	.	.	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	surround	VBN	VP		NP	*t*	-NONE-	-NONE-		WHNP	that	WDT	NP	valley	NO	.	.	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	surround	VBN	NP	VP	WHNP	that	WDT	WDT		NP	valley	NN	TO	to	NO	.	.	reduce_unary	SBAR_BAR	reduce_binary	1	-9.294198074178478
SBAR_BAR	that	WDT	S		WHNP	that	WDT	WDT		NP	valley	NN	TO	to	NO	.	.	reduce_binary	SBAR	reduce_unary	1	-9.294198074178478
SBAR	that	WDT	WHNP	S	NP	valley	NN	DT	NN	TO	to	 	VB	come	NO	.	.	reduce_unary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	valley	NN	SBAR		NP	valley	NN	DT	NN	TO	to	 	VB	come	NO	.	.	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	valley	NN	NP	SBAR	TO	to	 			VB	come	 	MD	would	NO	.	.	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	to	TO	NP		TO	to	 			VB	come	 	MD	would	NO	.	.	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	to	TO	TO	NP	VB	come	 			MD	would	 	NP	you	NO	.	.	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	come	VB	PP		VB	come	 			MD	would	 	NP	you	NO	.	.	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	come	VB	VB	PP	MD	would	 			NP	you	PRP	,	,	NO	.	.	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	come	VB	VP		MD	would	 			NP	you	PRP	,	,	NO	.	.	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	come	VB	MD	VP	NP	you	PRP	PRP		,	,	 	SBAR	if	NO	.	.	shift	''	reduce_binary	1	-9.294198074178478
.	.	 			VP	come	VB	MD	VP	NP	you	PRP	,	,	NO	.	.	reduce_unary	S_BAR	shift	1	-9.294198074178478
S_BAR	come	VB	.		VP	come	VB	MD	VP	NP	you	PRP	,	,	NO	.	.	reduce_binary	S_BAR	reduce_unary	1	-9.294198074178478
S_BAR	come	VB	VP	.	NP	you	PRP	PRP		,	,	 	SBAR	if	NO	.	.	reduce_binary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	come	VB	NP	VP	,	,	 			SBAR	if	IN	NOPOS	noword	NO	.	.	reduce_binary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	come	VB	,	NP	SBAR	if	IN	IN	S	NOPOS	noword	 		 	NO	.	.	reduce_binary	S	reduce_binary	1	-9.294198074178478
S	come	VB	SBAR	,	NOPOS	noword	 				 	 		 	NO	.	.	reduce_unary	ROOT	reduce_binary	1	-9.294198074178478
NOPOS	noword	 				 	 				 	 		 	NO	it	PRP	shift	''		38	-7.475404994315285
PRP	it	 			NOPOS	noword	 				 	 		 	NO	be	VBZ	reduce_unary	NP	shift	6	-8.398318339564453
NP	it	PRP	PRP		NOPOS	noword	 				 	 		 	NO	be	VBZ	shift	''	reduce_unary	6	-8.398318339564453
VBZ	be	 			NP	it	PRP	PRP		NOPOS	noword	 		 	NO	in	IN	shift	''	shift	1	-9.294198074178478
IN	in	 			VBZ	be	 			NP	it	PRP	NOPOS	noword	NO	this	DT	shift	''	shift	1	-9.294198074178478
DT	this	 			IN	in	 			VBZ	be	 	NP	it	NO	valley	NN	shift	''	shift	1	-9.294198074178478
NN	valley	 			DT	this	 			IN	in	 	VBZ	be	NO	where	WRB	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	valley	NN	NN		DT	this	 			IN	in	 	VBZ	be	NO	where	WRB	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	valley	NN	DT	NN	IN	in	 			VBZ	be	 	NP	it	NO	where	WRB	shift	''	reduce_binary	1	-9.294198074178478
WRB	where	 			NP	valley	NN	DT	NN	IN	in	 	VBZ	be	NO	you	PRP	reduce_unary	WHADVP	shift	1	-9.294198074178478
WHADVP	where	WRB	WRB		NP	valley	NN	DT	NN	IN	in	 	VBZ	be	YES	you	PRP	shift	''	reduce_unary	1	-9.294198074178478
PRP	you	 			WHADVP	where	WRB	WRB		NP	valley	NN	IN	in	YES	would	MD	reduce_unary	NP	shift	1	-9.294198074178478
NP	you	PRP	PRP		WHADVP	where	WRB	WRB		NP	valley	NN	IN	in	YES	would	MD	shift	''	reduce_unary	1	-9.294198074178478
MD	would	 			NP	you	PRP	PRP		WHADVP	where	WRB	NP	valley	YES	find	VB	shift	''	shift	1	-9.294198074178478
VB	find	 			MD	would	 			NP	you	PRP	WHADVP	where	YES	the	DT	postulate_gap	*t*	shift	1	-9.294198074178478
-NONE-	*t*	 			VB	find	 			MD	would	 	NP	you	NO	the	DT	reduce_unary	ADVP	postulate_gap	1	-9.294198074178478
ADVP	 	 	-NONE-		VB	find	 			MD	would	 	NP	you	NO	the	DT	shift	''	reduce_unary	1	-9.294198074178478
DT	the	 			ADVP	 	 	-NONE-		VB	find	 	MD	would	NO	city	NN	shift	''	shift	1	-9.294198074178478
NN	city	 			DT	the	 			ADVP	 	 	VB	find	NO	of	IN	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	city	NN	NN		DT	the	 			ADVP	 	 	VB	find	NO	of	IN	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	city	NN	DT	NN	ADVP	 	 	-NONE-		VB	find	 	MD	would	NO	of	IN	shift	''	reduce_binary	1	-9.294198074178478
IN	of	 			NP	city	NN	DT	NN	ADVP	 	 	VB	find	NO	bradford	NNP	shift	''	shift	1	-9.294198074178478
NNP	bradford	 			IN	of	 			NP	city	NN	ADVP	 	NO	,	,	reduce_unary	NP	shift	1	-9.294198074178478
NP	bradford	NNP	NNP		IN	of	 			NP	city	NN	ADVP	 	NO	,	,	reduce_unary	PP_BAR	reduce_unary	1	-9.294198074178478
PP_BAR	of	IN	NP		IN	of	 			NP	city	NN	ADVP	 	NO	,	,	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	of	IN	IN	NP	NP	city	NN	DT	NN	ADVP	 	 	VB	find	NO	,	,	reduce_unary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	city	NN	PP		NP	city	NN	DT	NN	ADVP	 	 	VB	find	NO	,	,	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	city	NN	NP	PP	ADVP	 	 	-NONE-		VB	find	 	MD	would	NO	,	,	shift	''	reduce_binary	1	-9.294198074178478
,	,	 			NP	city	NN	NP	PP	ADVP	 	 	VB	find	NO	where	WRB	shift	''	shift	1	-9.294198074178478
WRB	where	 			,	,	 			NP	city	NN	ADVP	 	NO	once	RB	reduce_unary	WHADVP	shift	1	-9.294198074178478
WHADVP	where	WRB	WRB		,	,	 			NP	city	NN	ADVP	 	YES	once	RB	shift	''	reduce_unary	1	-9.294198074178478
RB	once	 			WHADVP	where	WRB	WRB		,	,	 	NP	city	YES	a	DT	reduce_unary	ADVP	shift	1	-9.294198074178478
ADVP	once	RB	RB		WHADVP	where	WRB	WRB		,	,	 	NP	city	YES	a	DT	shift	''	reduce_unary	1	-9.294198074178478
DT	a	 			ADVP	once	RB	RB		WHADVP	where	WRB	,	,	YES	thousand	CD	shift	''	shift	1	-9.294198074178478
CD	thousand	 			DT	a	 			ADVP	once	RB	WHADVP	where	YES	spinning	JJ	shift	''	shift	1	-9.294198074178478
JJ	spinning	 			CD	thousand	 			DT	a	 	ADVP	once	YES	jenny	NNS	shift	''	shift	1	-9.294198074178478
NNS	jenny	 			JJ	spinning	 			CD	thousand	 	DT	a	YES	that	WDT	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	jenny	NNS	NNS		JJ	spinning	 			CD	thousand	 	DT	a	YES	that	WDT	reduce_binary	NP_BAR	reduce_unary	1	-9.294198074178478
NP_BAR	jenny	NNS	JJ	NNS	CD	thousand	 			DT	a	 	ADVP	once	YES	that	WDT	reduce_binary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	jenny	NNS	CD	JJ	DT	a	 			ADVP	once	RB	WHADVP	where	YES	that	WDT	reduce_binary	NP	reduce_binary	1	-9.294198074178478
NP	jenny	NNS	DT	CD	ADVP	once	RB	RB		WHADVP	where	WRB	,	,	YES	that	WDT	shift	''	reduce_binary	1	-9.294198074178478
WDT	that	 			NP	jenny	NNS	DT	CD	ADVP	once	RB	WHADVP	where	YES	hum	VBD	reduce_unary	WHNP	shift	1	-9.294198074178478
WHNP	that	WDT	WDT		NP	jenny	NNS	DT	CD	ADVP	once	RB	WHADVP	where	YES	hum	VBD	postulate_gap	*t*	reduce_unary	1	-9.294198074178478
-NONE-	*t*	 			WHNP	that	WDT	WDT		NP	jenny	NNS	ADVP	once	YES	hum	VBD	reduce_unary	NP	postulate_gap	1	-9.294198074178478
NP	*t*	-NONE-	-NONE-		WHNP	that	WDT	WDT		NP	jenny	NNS	ADVP	once	YES	hum	VBD	shift	''	reduce_unary	1	-9.294198074178478
VBD	hum	 			NP	*t*	-NONE-	-NONE-		WHNP	that	WDT	NP	jenny	YES	and	CC	reduce_unary	VP	shift	1	-9.294198074178478
VP	hum	VBD	VBD		NP	*t*	-NONE-	-NONE-		WHNP	that	WDT	NP	jenny	YES	and	CC	shift	''	reduce_unary	1	-9.294198074178478
CC	and	 			VP	hum	VBD	VBD		NP	*t*	-NONE-	WHNP	that	YES	clatter	VBD	shift	''	shift	1	-9.294198074178478
VBD	clatter	 			CC	and	 			VP	hum	VBD	NP	*t*	YES	spin	VBD	reduce_unary	VP	shift	1	-9.294198074178478
VP	clatter	VBD	VBD		CC	and	 			VP	hum	VBD	NP	*t*	YES	spin	VBD	reduce_unary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	clatter	VBD	VP		CC	and	 			VP	hum	VBD	NP	*t*	YES	spin	VBD	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	clatter	VBD	CC	VP	VP	hum	VBD	VBD		NP	*t*	-NONE-	WHNP	that	YES	spin	VBD	reduce_binary	VP	reduce_binary	1	-9.294198074178478
VP	clatter	VBD	VP	CC	NP	*t*	-NONE-	-NONE-		WHNP	that	WDT	NP	jenny	YES	spin	VBD	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	clatter	VBD	VP		NP	*t*	-NONE-	-NONE-		WHNP	that	WDT	NP	jenny	YES	spin	VBD	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	clatter	VBD	NP	VP	WHNP	that	WDT	WDT		NP	jenny	NNS	ADVP	once	YES	spin	VBD	reduce_unary	SBAR_BAR	reduce_binary	1	-9.294198074178478
SBAR_BAR	that	WDT	S		WHNP	that	WDT	WDT		NP	jenny	NNS	ADVP	once	YES	spin	VBD	reduce_binary	SBAR	reduce_unary	1	-9.294198074178478
SBAR	that	WDT	WHNP	S	NP	jenny	NNS	DT	CD	ADVP	once	RB	WHADVP	where	YES	spin	VBD	reduce_unary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	jenny	NNS	SBAR		NP	jenny	NNS	DT	CD	ADVP	once	RB	WHADVP	where	YES	spin	VBD	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	jenny	NNS	NP	SBAR	ADVP	once	RB	RB		WHADVP	where	WRB	,	,	YES	spin	VBD	shift	''	reduce_binary	1	-9.294198074178478
VBD	spin	 			NP	jenny	NNS	NP	SBAR	ADVP	once	RB	WHADVP	where	YES	wool	NN	postulate_gap	*t*	shift	1	-9.294198074178478
-NONE-	*t*	 			VBD	spin	 			NP	jenny	NNS	ADVP	once	NO	wool	NN	reduce_unary	ADVP	postulate_gap	1	-9.294198074178478
ADVP	 	 	-NONE-		VBD	spin	 			NP	jenny	NNS	ADVP	once	NO	wool	NN	shift	''	reduce_unary	1	-9.294198074178478
NN	wool	 			ADVP	 	 	-NONE-		VBD	spin	 	NP	jenny	NO	into	IN	reduce_unary	NP	shift	1	-9.294198074178478
NP	wool	NN	NN		ADVP	 	 	-NONE-		VBD	spin	 	NP	jenny	NO	into	IN	shift	''	reduce_unary	1	-9.294198074178478
IN	into	 			NP	wool	NN	NN		ADVP	 	 	VBD	spin	NO	money	NN	shift	''	shift	1	-9.294198074178478
NN	money	 			IN	into	 			NP	wool	NN	ADVP	 	NO	for	IN	reduce_unary	NP	shift	1	-9.294198074178478
NP	money	NN	NN		IN	into	 			NP	wool	NN	ADVP	 	NO	for	IN	reduce_unary	PP_BAR	reduce_unary	1	-9.294198074178478
PP_BAR	into	IN	NP		IN	into	 			NP	wool	NN	ADVP	 	NO	for	IN	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	into	IN	IN	NP	NP	wool	NN	NN		ADVP	 	 	VBD	spin	NO	for	IN	shift	''	reduce_binary	1	-9.294198074178478
IN	for	 			PP	into	IN	IN	NP	NP	wool	NN	ADVP	 	NO	the	DT	shift	''	shift	1	-9.294198074178478
DT	the	 			IN	for	 			PP	into	IN	NP	wool	NO	long-bearded	JJ	shift	''	shift	1	-9.294198074178478
JJ	long-bearded	 			DT	the	 			IN	for	 	PP	into	NO	mill	NN	shift	''	shift	1	-9.294198074178478
NN	mill	 			JJ	long-bearded	 			DT	the	 	IN	for	NO	owner	NNS	shift	''	shift	1	-9.294198074178478
NNS	owner	 			NN	mill	 			JJ	long-bearded	 	DT	the	NO	.	.	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	owner	NNS	NNS		NN	mill	 			JJ	long-bearded	 	DT	the	NO	.	.	reduce_binary	NP_BAR	reduce_unary	1	-9.294198074178478
NP_BAR	owner	NNS	NN	NNS	JJ	long-bearded	 			DT	the	 	IN	for	NO	.	.	reduce_binary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	owner	NNS	JJ	NN	DT	the	 			IN	for	 	PP	into	NO	.	.	reduce_binary	NP	reduce_binary	1	-9.294198074178478
NP	owner	NNS	DT	JJ	IN	for	 			PP	into	IN	NP	wool	NO	.	.	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	for	IN	NP		IN	for	 			PP	into	IN	NP	wool	NO	.	.	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	for	IN	IN	NP	PP	into	IN	IN	NP	NP	wool	NN	ADVP	 	NO	.	.	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	spin	VBD	PP		PP	into	IN	IN	NP	NP	wool	NN	ADVP	 	NO	.	.	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	spin	VBD	PP	PP	NP	wool	NN	NN		ADVP	 	 	VBD	spin	NO	.	.	reduce_binary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	spin	VBD	NP	PP	ADVP	 	 	-NONE-		VBD	spin	 	NP	jenny	NO	.	.	reduce_binary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	spin	VBD	ADVP	NP	VBD	spin	 			NP	jenny	NNS	ADVP	once	NO	.	.	reduce_binary	VP	reduce_binary	1	-9.294198074178478
VP	spin	VBD	VBD	ADVP	NP	jenny	NNS	NP	SBAR	ADVP	once	RB	WHADVP	where	NO	.	.	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	spin	VBD	VP		NP	jenny	NNS	NP	SBAR	ADVP	once	RB	WHADVP	where	NO	.	.	reduce_binary	S_BAR	reduce_unary	1	-9.294198074178478
S_BAR	spin	VBD	NP	VP	ADVP	once	RB	RB		WHADVP	where	WRB	,	,	NO	.	.	reduce_binary	S	reduce_binary	1	-9.294198074178478
S	spin	VBD	ADVP	NP	WHADVP	where	WRB	WRB		,	,	 	NP	city	NO	.	.	reduce_unary	SBAR_BAR	reduce_binary	1	-9.294198074178478
SBAR_BAR	where	WRB	S		WHADVP	where	WRB	WRB		,	,	 	NP	city	NO	.	.	reduce_binary	SBAR	reduce_unary	1	-9.294198074178478
SBAR	where	WRB	WHADVP	S	,	,	 			NP	city	NN	ADVP	 	NO	.	.	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	find	VB	SBAR		,	,	 			NP	city	NN	ADVP	 	NO	.	.	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	find	VB	,	SBAR	NP	city	NN	NP	PP	ADVP	 	 	VB	find	NO	.	.	reduce_binary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	find	VB	NP	,	ADVP	 	 	-NONE-		VB	find	 	MD	would	NO	.	.	reduce_binary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	find	VB	ADVP	NP	VB	find	 			MD	would	 	NP	you	NO	.	.	reduce_binary	VP	reduce_binary	1	-9.294198074178478
